Origin code,Origin name
UPG21400,"SENGKANG, WAJO"
UPG21500,SINJAI
UPG21600,"SUNGGUMINASA,KAB.GOWA"
UPG21700,TAKALAR
UPG21800,"WATAMPONE,KAB.BONE"
UPG21811,"LIBURENG,WATAMPONE"
UPG21900,WATANSOPPENG
UPG22000,"BENTENG,KAB.SELAYAR"
UPG22100,"PANGKAJENE,KEP.PANGKAJENE"
UPG22300,PARE-PARE
UPG23100,"BELOPA,KAB.LUWU"
UPG23112,"WALENRANG,BELOPA"
UPG23200,"MALILI,KAB.LUWU TIMUR"
UPG23203,"MANGKUTANA,KAB.LUWU TIMUR"
UPG23204,"SOROAKO/NUHA,KAB.LUWU TIMUR"
UPG23300,"MASAMBA,KAB.LUWU UTARA"
UPG23400,"MAMASA,MAMASA"
UPG23500,"PASANGKAYU,MAMUJU UTARA"
WGX10000,"GATEWAY, WANGON"
