Branch code,Branch name
ION000,UNITED KINGDOM
9UX000,MOLDOVA
YMX000,MONTENEGRO
CWX000,MARSHAL ISLAND
INI000,MACEDONIA
SLI000,SIERRA LEONE
USV000,VIRGIN ISLANDS (US)
TYO000,OKINAWA-JAPAN
DTB000,JNE SILANGIT
WGX000,WANGON GATEWAY
MKQ000,JNE MERAUKE
MLX000,MALI
MMX000,MYANMAR
MNX000,MONGOLIA
MOX000,MACAU
MPX000,COMMONWEALTH NO. MARIANA ISLAN
MQX000,MARTINIQUE
MRX000,MAURITANIA
MSX000,MONTSERRAT
MTX000,MALTA
MUX000,MAURITIUS
MVX000,MALDIVES
MWX000,MALAWI
MXX000,MEXICO
MYX000,MALAYSIA
MZX000,MOZAMBIQUE
NAX000,NAMIBIA
NCX000,NEW CALEDONIA
NEX000,NIGER
NGX000,NIGERIA
NIX000,NICARAGUA
NLX000,NETHERLANDS
NOX000,NORWAY
NPX000,NEPAL
NRX000,"NAURU, REPUBLIC OF"
NUX000,NIUE
NZX000,NEW ZEALAND
OMX000,OMAN
PAX000,PANAMA
PEX000,PERU
PFX000,TAHITI
PGX000,PAPUA NEW GUINEA
PHX000,PHILIPPINES
PKX000,PAKISTAN
PLX000,POLAND
PRX000,PUERTO RICO
PTX000,PORTUGAL
PWX000,PALAU
PYX000,PARAGUAY
QAX000,QATAR
REX000,"REUNION, ISLAND OF"
ROX000,ROMANIA
RSX000,"SERBIA, REPUBLIC OF"
RUX000,RUSSIAN FEDERATION
RWX000,RWANDA
SAX000,SAUDI ARABIA
SBX000,SOLOMON ISLANDS
SCX000,SEYCHELLES
SDX000,SUDAN
SEX000,SWEDEN
SGX000,SINGAPORE
SHX000,SAINT HELENA
SIX000,SLOVENIA
SKX000,SLOVAKIA
SLX000,SIERRA LEONE
SMX000,SAN MARINO
SNX000,SENEGAL
SOX000,SOMALIA
SRX000,SURINAME
SSX000,SOUTH SUDAN
STX000,SAINT CROIX
SVX000,EL SALVADOR
SYX000,SYRIA
SZX000,SWAZILAND
TCX000,TURKS AND CAICOS ISLANDS
TDX000,CHAD
TGX000,TOGO
THX000,THAILAND
TJX000,TAJIKISTAN
TLX000,EAST TIMOR
TNX000,TUNISIA
TOX000,TONGA
TRX000,TURKEY
TTX000,TRINIDAD AND TOBAGO
TVX000,TUVALU
TWX000,TAIWAN
TZX000,TANZANIA
UAX000,UKRAINE
UGX000,UGANDA
USX000,UNITED STATES OF AMERICA
UYX000,URUGUAY
UZX000,UZBEKISTAN
VCX000,ST. VINCENT
VEX000,VENEZUELA
VGX000,VIRGIN ISLANDS (BRITISH)
VIX000,VIRGIN ISLANDS (US)
VNX000,VIETNAM
VUX000,VANUATU
WSX000,SAMOA
XBX000,BONAIRE
XCX000,CURACAO
LBJ000,JNE LABUAN BAJO
MKW000,JNE MANOKWARI
